French,English
Informations Sur Le Signataire Du Compte En Attente D'Approbation,Account Signatory Information Awaiting Approval
Informations Sur Les Principaux Fournisseurs En Attente D'Approbation,Top Supplier Information Awaiting Approval
Principaux Renseignements Sur Les Clients En Attente D'Approbation,Top Client Information Awaiting Approval
Informations sur l'actionnaire individuel en attente d'approbation,Individual Shareholder Information Awaiting Approval
Informations sur les actionnaires de la société en attente d'approbation,Corporate Shareholder Information Awaiting Approval
Antécédents D'Emploi En Attente D'Approbation,Employment History Awaiting Approval
Informations Modifiées,Modified Information
Le Personnel approbateur,Approving Staff
Concession de frais en attente d'approbation,Fee Concession Awaiting Approval
Type de concession,Concession Type
Raison De La Concession,Reason For Concession
Valeur Par Défaut,Default Value
frais à facturer,Fee Charge
Affichez le document,View Document
Affichez Les Détails,View Details
Approbation de Concession de Frais,Fee Concession Approval
Type de concession,Concession Type
Valeur de la concession,Concession Value
Approbation de l'utilisation des Prêts Conditionnels,Contingent Loans Usage Approval
Heure d'arrivée,Time In
Principal,Principal
Utilisation des prêts conditionnels,Contingent Loan Usage
Débiteur:,Obligor:
Principal:,Principal:
Montant Éventuel:,Contingent Amount:
Date de réservation:,Book Date:
Montant Utilisé:,Amount Used:
Pourcentage Utilisé:,Percentage Used:
Montant Demandé:,Amount Requested:
Désapprouvez,Disapprove
Numéro du billet à ordre:,Promissory Note Number:
État:,State:
Est Occupé Par Le Propriétaire?:,Is Owner Occupied?:
Est-ce que La Propriété est Résidentielle?:,Is Property Residential?:
L'actif est-il mis en gage par un tiers?:,Is Asset Pledged By a Third Party ?:
Nom du tiers:,Third Party Name:
L'Actif Est-Il Géré Par un Fiduciaire ?:,Is Asset Managed By a Trustee ?:
Nom du fiduciaire:,Trustee Name:
Part bancaire de la garantie:,Bank Share Of Collateral:
Nom De Compte:,Account Name:
Nom Du Compte À Débiter:,Account Name To Debit:
Numéro De Compte À Débiter:,Account Number To Debit:
Nom de la Banque / Payeur:,Bank Name / Payer:
Montant du Paiement Régulier,Regular Payment Amount
Employeur:,Employer:
Salaire Mensuel:,Monthly Salary:
Autres allocations annuelles:,Other Annual Allowances:
Émolument annuel total,Total Annual Emolument
Numéro de Compte (Salaire Domicilié),Account Number (Salary Domiciled)
Salaire Annuel:,Annual Salary:
Remarque,Remark
Détail du contrat:,Contract Detail:
Employeur Contractuel:,Contract Employer:
Valeur Totale Du Contrat:,Total Contract Value:
Montant Impayé de la Facture,Outstanding Invoice Amount
Nom de la Banque / Payeur,Bank Name / Payer
Intervalle:,Interval:
Numéro de Téléphone 2:,Phone Number 2:
La Durée De La Relation:,Relationship Duration:
Courriel,Email
Date de début:,Start Date:
Date de Fin,End Date
Approbation de la Politique sur les Éléments de garantie,Collateral Item Policy Approval
Ajoutez une assurance,Add Insurance
Détail Principal de la Garantie,Main Collateral Detail
Détail de la Police d'Assurance,Insurance Policy Detail
assureur:,Insurance Company:
Montant Assuré:,Insured Amount:
Détails de la Demande,Request Details
Raison:,Reason:
Commentaire:,Comment:
Commentaires Précédents,Previous Comments
Historique des Polices d'Assurance,Insurance Policy History
Télécharger le Document de Politique,Upload Policy Document
Téléchargez,Upload
Assureur Précédent,Previous Insurer
Sélectionnez Assurance Précédente,Select Previous Insurance
Approbation du Rôle du Personnel,Staff Role Approval
Approbation du Rôle du Personnel,Staff Role Approval
LISTE DE GROUPE,LIST OF GROUP
LISTE DES ACTIVITÉS,LIST OF ACTIVITIES
Informations sur le Rôle du Personnel,Staff Role Info
Réattribuez le Gestionnaire de Compte de Prêt,Reassign Loan Account Manager
Gestionnaire de Relations Actuel,Current Relationship Manager
Nouveau Gestionnaire de Relations,New Relationship Manager
Réattribuez le Gestionnaire de Compte de Prêt,Reassign Loan Account Manager
Intérêt accru,Accrued Interest
En Souffrance,Past Due
Montant Total,Total Amount
Date D'Entrée En Vigueur,Effective Date
Attribuer Un Gestionnaire de Relations,Assign Relationship Manager
Nouveau Gestionnaire de Relations,New Relationship Manager
Raison Du Changement,Reason For Change
Statut,Status
Commentaire,Comment
Approbation des frais,Fee / Charge Approval
Nom de frais,Charge Name
Montant des frais,Fee Amount
Approbation des frais facturé,Charge Fee Approval
frais facture,Charege Fee
Informations sur les frais,Charge Fee Info
Comptes Radiés / Liste d'approbation du Livre Noir,Written-Off Accounts / Black-Book Approval List
,Camsol Type
Pouvez Prendre un Prêt,Can Take Loan
Comptes radiés / Détail du Livre Noir,Written-Off Accounts / Black-Book Detail
Solde:,Balance:
Type de Système de Prêt:,Loan System Type:
Type de Camsol,camsolType
L'Intérêt Insuspense:,Interest Insuspense:
Prêt De Référence:,Loan Reference:
Date Connecté:,Date Logged:
Comptes radiés / Détails du Livre Noir,Written-off Accounts/Black-Book Details
Approuver Plusieurs Détails Camsol,Approve Multiple Camsol Details
Approbations de Retrait,Drawdown Approvals
Mémo de prélèvement ,Drawdown Memo
Retrait de Plusieurs Crédit,Multiple Facility Drawdown
Lettre D'Offre Générée,Generated Offer Letter
Afficher Les Informations de Prêt,Show Loan Information
DOCUMENTS DE PRÉLÈVEMENT,DRAWDOWN DOCUMENTS
Approbation De La Mémo,Approval Memo
Placement En Garantie en Espèces,Cash Collateral Lien Placement
-- Sélectionnez l'état d'approbation --,-- Select Approval Status --
Mémo de prélèvement ,Drawdown Memo
Modification du Groupe d'Homologation,Approval Group Modification
Flux De Travail De Groupe,Workflow Group
Nom de l'Opération:,Operation Name:
Soumettre,Submit
Flux De Travail D'Approbation Niveau,Approval Workflow Level
Nombre D'Utilisateurs,Number Of Users
Nombre D'Approbations,Number Of Approvals
Flux De Travail D'Approbation Niveau,Approval Workflow Level
Nom De Niveau:,Level Name:
Position:,Position:
Montant Maximum:,Maximum Amount:
Montant de Qualité D'investissement:,Investment Grade Amount:
Taux des frais:,Fee Rate:
Nombre D'Utilisateurs:,Number Of Users:
Nombre D'Approbations:,Number Of Approvals:
Intervalle SLA:,SLA Interval:
est Politiquement Exposé:,is Politically Exposed:
Peut escalader:,Can Escalate:
Peut Approuver Untenored:,Can Approve Untenored:
Peut Résoudre Le Différend:,Can Resolve Dispute:
Est Active:,Is Active:
Intervalle de Notification SLA:,SLA Notification Interval:
Peut Afficher La Valeur Du Document:,Can View Document Value:
Peut Modifier La Valeur:,Can Edit Value:
Peut Afficher Le Fichier Téléchargé:,Can View Uploaded File:
Peut Télécharger Le Fichier:,Can Upload File:
Peut Voir L'Approbation:,Can View Approval:
Peut Approuver La Valeur:,Can Approve Value:
Peut Recevoir  l'E-Mail:,Can Recieve Email:
Peut Recevoir le SMS:,Can Recieve SMS:
Itinéraire Via Organogramme Du Personnel:,Route Via Staff Organogram:
Soumettre,Submit
Niveau d'approbation Modification du Personnel,Approval Level Staff Modification
Niveau d'approbation Modification du Personnel,Approval Level Staff Modification
Portée de la Vue du Processus:,Process View Scope:
Peut Afficher Le Document:,Can View Document:
Peut Approuver:,Can Approve:
Pouvez Éditer:,Can Edit:
Le Droit De Veto:,Veto Power:
Nom du Niveau d'Approbation:,Approval Level Name:
Nom du niveau du personnel:,Staff Level Name:
Soumettre,Submit
Approuvez la relève du personnel,Approve Staff Relief
Affichez Les Détails,View Details
Détails de la relève du personnel,Staff Relief Details
Nom du personnel:,Staff Name:
Nom du personnel de relève:,Relief Staff Name:
la raison de relève:,Relief Reason:
Approbation d'Annulation de Demande de Prêt,Loan Application Cancellation Approval
Les Demandes De Prêt,Loan Applications
Informations sur la demande de prêt,Loan Application Information
Soumettre,Submit
Vérification de la Réservation de Crédit,Facility Booking Verification
Compte d'Intérêt CAP,Interest CAP Account
Compte Nostro,Nostro Account
Statut,Status
Montant Approuvé Par le Client,Customer Approved Amount
Montant du Décaissement,Disbursement Amount
Contrat de Prêt,Loan Covenant
Sélectionnez le type de rotation,Select Revolving Type
Sélectionnez l'Indice des Prix,Select Price Index
Soumettez la Réservation,Submit Booking
Lettre D'Offre Générée,Generated Offer Letter
Dérouter,Re-route
Consultants Accrédités En Attente D'Approbation,Accredited Consultants Awaiting Approval
Affichez Les Détails,View Details
Détails du Consultant Accrédité,Accredited Consultant Details
Numéro d'enregistrement:,Registration Number:
Nom:,Name:
Nom De L'Entreprise:,Firm Name:
BVN de Solliciteur:,Solicitor BVN:
Courriel:,Email:
Adresse:,Address:
Nom du Consultant:,Consultant Name:
Soumettre,Submit
Approbation du Changement de Statut du Compte Utilisateur,User Account Status Change Approval
Modification Des Frais De Prêt En Attente D'Approbation,Loan Fee Change Awaiting Approval
Nom du Compte CASA,CASA Account Name
Numéro de Compte CASA,CASA Account Number
Modifications Apportées Aux Frais De Prise,Changes Made For Take Fee
Changement De Taux D'Intérêt Mondial En Attente D'Approbation,Global Interest Rate Change Awaiting Approval
Ancien Taux,Old Rate
Nouveau Taux,New Rate
Induite par le marché,isMarketInduced
Induite par le marché,Market Induced
Affichez pour approuver,View to Approve
Affichez les Commentaires,View Comments
Indice des Prix des Produits Mondial,Product Price Index Global
Approuver Le Changement De Taux D'Intérêt Mondial,Approve Global Interest Rate Change
Indice des Prix des Produits,Product Price Index
Date D'Entrée En Vigueur,Effective Date
Ancien Taux,Old Rate
Nouveau Taux,New Rate
Induite par le marché,Market Induced
Commentaire,Comment
Statut,Status
Approuver Le Changement De Taux D'Intérêt Mondial,Approve Global Interest Rate Change
Décision de Crédit,Credit Decision
J'accepte,Accept
Commentaires sur l'approbation du taux d'intérêt mondial,Global Interest rate Approval Comments
Téléchargez,Upload
Client,Custonmer
Passer,Passed
Action,Action
Décaisser,Disburse
Sélectionnez le Type d'Intérêt,Select Interest Type
Enregistrez Sans Publier,Save Without Posting
Détails De L'échancier,Schedule Details
Informations bancaires de base,Core-Banking Information
Numéro de référence Core Banking,Core Banking Reference Number
Équivalent NGN,NGN Equivalent
Dépôt ATC,ATC Lodgement
Date Déposée,Date Lodged
Type d'ATC,ATC Type
Dépôt,Depot
Numéro d'Unité,Unit Number
Détails Supplémentaires,Additional Detail
ATC Logdment,ATC Logdment
Détails de Dépôt ATC,ATC Lodgement Detail
Solde Du Compte Du Client,Customer Account Balance
Panneau d'Approbation,Approval Panel
Libération d'ATC,ATC Release
Date de sortie,Date Released
Type d'Atc,Atc Type
Unité à libérer,Unit To Release
Commentaires d'approbation,Approval Comments
,Customer&apos;s ATC
Coût unitaire,Unit Cost
Nombre De Sacs,Number Of Bags
Détails ATC,ATC Details
Détails de Dépôt ATC,ATC Lodgement Detail
Libération d'ATC,ATC Release
Unités totales,Total Units
Unités à libérer,Units to Release
Unité totale,Total Unit
unité libérée,unit Released
Solde de l'unité,Unit Balance
Enregistrer La Demande D'Approbation,Save Request For Approval
Solde Du Compte Du Client,Customer Account Balance
Panneau d'Approbation,Approval Panel
Soumettre et fermer,Submit and Close
Approbation du Rapport sur le Site du Projet,Project Site Report Approval
Rapport de site de projet,Project Site Report
Nom de l'Entrepreneur,Contractor Name
Coût du Projet,Project Cost
Le Crédit,Facilities
Rapport de site de projet,Project Site Report
ANALYSE DES PERFORMANCES,PERFORMANCE ANALYSIS
La Valeur De La Garantie,Value Of Collateral
Certifié VOWD à ce jour,Certified VOWD to Date
PMU a évalué les travaux à ce jour,PMU assessed Work to Date
La Valeur De La Garantie:,Value Of Collateral:
Certifié VOWD à ce jour:,Certified VOWD to Date:
PMU a évalué les travaux à ce jour:,PMU assessed Work to Date:
Montant Décaissé:,Amount Disbursed:
Montant Demandé:,Requested Amount:
Analyse des Performances,Performance Analysis
L'ÉVALUATION DE LA PERFORMANCE,PERFORMANCE EVALUATION
Type de Rapport,Report Type
Somme du projet,Project Sum
APG Émis,APG Issued
Paiement Progressif À Ce Jour,Progress Payment To Date
Somme du projet:,Project Sum:
APG Émis:,APG Issued:
Montant Reçu:,Amount Received:
PMU a évalué VOWD à ce jour:,PMU Assessd VOWD To Date:
Montant décaissé à ce jour:,Amount Disbursed To Date:
Consultant Indépendant À Ce Jour:,Independent Consultant To Date:
Variation De Coût:,Cost Variation:
La Variation De Temps:,Time Variation:
Certifié VOWD À Ce Jour:,Certified VOWD To Date:
APG amorti:,Amortised APG:
Paiement progressif à ce jour:,Progress Payment to date:
L'Évaluation De La Performance,Performance Evaluation
COMMENTAIRE DE L'INSPECTION,COMMENT FROM INSPECTION
OBSERVATIONS ET IMPACT,OBSERVATIONS AND IMPACT
Observation,Observations
RECOMMANDATION,RECOMMENDATIONS
Recommandation,Recommendations
TÂCHES POUR LA PROCHAINE INSPECTION,TASKS FOR NEXT INSPECTION
Prochaine date d'inspection,Next Inpectioan Date
Tâche,Tasks
Affichez le Rapport,View Report
Rapport d'Évaluation,Evaluation Report
Panneau d'Approbation,Approval Panel
Nom du Client:,Client Name:
Coût du Projet:,Project Cost:
Description du Projet:,Project Description:
Date d'Achèvement du Projet (Prévue):,Project Completion Date (Planned):
Prochaine date de visite:,Next VisitationDate:
Type de Rapport sur le Site du Projet:,Project Site Report Type:
Panneau d'Approbation,Approval Panel
Soumettre,Submit
Liste des Crédits,List of Facilities
Code de Référence Juridique,Legal Reference Code
But du prêt,Loan Purpose
Montant Total Utilisé,Total Utilized Amount
Rapport de site de projet,Project Site Report
Lettre De Génération D'Approbation,Letter Generation Approval
Sélectionnez le Type de demande,Select Request Type
À la date,As At Date
Solde du Prêt,Loan Balance
État de la dette,Debt Status
,Signatory&apos;s Tile
,Signatory&apos;s Name
,Signatory&apos;s Initials
Lettre De Génération D'Approbation,Letter Generation Approval
Nom de l'évaluation,Valuation Name
Raison de l'évaluation,Valuation Reason
Évaluations des Garanties,Collateral Valuations
Affichez les Prérequis d'évaluation,View Valuation Prerequisite
Prérequis d'évaluation,Valuation Prerequisite
Numéro de Compte Client,Customer Account Number
Évaluateur D'Un Numéro De Compte,Valuer Account Number
Frais d'évaluation,Valuation Fee
Type de prérequis d'évaluation,Valuation Prerequisite Type
Commentaire d'évaluation,Valuation Comment
Narration,Narration
Document De Téléchargements,Document Uploads
Informations sur l'Évaluateur,Valuer Information
Commentaire de l'évaluateur,Valuer Comment
WHT (%),WHT (%)
Montant WHT,WHT Amount
OMV,OMV
FSV,FSV
Ajouter un évaluateur,Add Valuer
